공간정보일련번호,지형지물부호,등록구,관리기관,명칭,구경,형식,제작회사,최대유량,설치일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
106,유량계,사하구,사하사업소,11블럭 유량계,150,전자식,서용엔니지어링,0,2021-03-08,사상가압장(신설),양호,상수맨홀,사하구,블록
445,유량계,사하구,사하사업소,38-1블록 유량계,250,초음파식,진성산전,0,2021-03-04,장림배수지,양호,상수맨홀,사하구,블록
551,유량계,사하구,사하사업소,37블록유량계,300,초음파식,진성산전,0,2021-03-04,덕산정수장(생활직송),양호,-,사하구,블록
332,유량계,사하구,사하사업소,7-3블록 유량계,100,전자식,서용엔지니어링,0,2021-02-23,괴정1가압장,양호,-,사하구,블록
"16,977",유량계,기장군,기장사업소,-,150,-,-,0,2020-12-11,개좌골가압장,양호,-,-,-
"16,961",유량계,기장군,기장사업소,-,150,-,-,0,2020-12-11,정관지구고지배수지,양호,-,-,-
"16,641",유량계,중구,시설관리사업소,북항재개발사업지 인입,600,초음파식,씨엠엔텍,278535.23,2020-10-16,사상가압장(기설),-,-,-,블록
105,유량계,사하구,사하사업소,10블럭 유량계,300,초음파식,(주)씨엠엔텍,277674.21,2020-09-24,신평배수지,양호,상수맨홀,사하구,블록
153,유량계,연제구,동래통합사업소,41-1블록 유량계,200,전자식,서용엔지어링,0,2020-06-09,사상가압장(신설),양호,상수맨홀,연제구,블록
152,유량계,동래구,동래통합사업소,16블록유량계,450,초음파식,씨엠엔텍,0,2020-06-08,덕천가압장(시내),양호,상수맨홀,동래구,블록
213,유량계,동래구,동래통합사업소,22블록유량계,500,초음파식,씨엠엔텍,289036.06,2020-06-08,덕천가압장(오륜),양호,상수맨홀,동래구,블록
640,유량계,연제구,동래통합사업소,42블록 유량계,200,전자식,(주)서용엔지니어링,0,2020-06-08,덕천가압장(시내),양호,-,연제구,블록
202,유량계,동래구,동래통합사업소,21블록유량계,300,전자식,서용엔지니어링,0,2020-06-04,사직부스터,양호,상수맨홀,동래구,블록
